Scenario ID,Own/Target Ship CPA,Closest Distance (Skewed),Ship 1,Ship 2,Closest Distance (Parallel),Ship 1,Ship 2,Evaluation Time
0,1341.57,549.2028,4,14,551.579,3,20,1.208362
1,3808.949,394.2387,1,5,474.6396,1,5,1.22569
2,1850.067,429.3473,12,20,518.8281,5,20,1.187837
3,2902.962,488.5287,14,20,488.5499,14,20,1.211489
4,1033.815,483.2779,1,16,609.4833,5,6,1.142695
5,2574.635,557.8141,3,11,515.3717,4,9,1.190108
6,2038.523,441.1778,5,18,288.9005,13,17,1.201223
7,2505.446,536.2297,5,7,550.0405,1,7,1.225919
8,2572.772,477.8459,2,4,525.7019,15,17,1.220166
9,1302.227,537.9926,6,18,524.3401,6,18,1.17322
10,2773.495,553.3248,1,6,604.5313,18,20,1.187466
11,2409.245,384.3997,1,19,587.4163,0,18,1.24622
12,2075.506,615.9789,13,20,147.0159,14,18,1.161779
13,1839.488,423.5998,14,19,449.5196,20,21,1.187916
14,1775.431,273.4799,16,20,472.3275,11,19,1.264093
15,1690.354,181.1148,1,10,530.3009,11,18,1.208076
16,1633.313,410.8526,5,14,503.9079,3,9,1.229439
17,2083.857,539.6531,13,14,722.0193,9,16,1.219572
18,1059.566,809.5709,12,13,548.8252,11,19,1.171015
19,3214.694,546.5994,3,15,488.9353,8,21,1.190996
20,3061.108,542.9364,1,18,588.8969,0,9,1.183239
21,2538.609,512.0483,1,21,525.6071,6,14,1.183443
22,2442.355,496.7418,7,13,512.4059,6,11,1.191463
23,3514.486,595.1805,13,18,559.6335,13,18,1.149523
24,2070.668,543.8593,20,21,481.8914,20,21,1.202894
25,633.072,549.1342,1,13,394.1828,1,13,1.184376
26,711.7609,575.2708,1,15,527.0404,1,15,1.190948
27,549.3455,604.5531,9,21,549.3455,0,1,1.190071
28,704.1182,556.509,8,13,509.8349,8,13,1.147263
29,993.2778,547.2656,0,7,498.0323,4,15,1.147842
30,606.3671,438.6968,11,12,566.0525,5,10,1.200527
31,1309.735,504.8701,0,17,500.5254,0,17,1.211987
32,713.9333,513.0104,6,10,614.0494,3,6,1.167969
33,557.0895,546.999,7,14,455.3467,7,14,1.170223
34,554.6459,446.3507,1,19,520.7894,3,5,1.228645
35,698.9532,523.3414,0,13,496.0154,5,6,1.182846
36,997.8257,506.4288,15,16,424.6369,14,21,1.190212
37,536.9268,550.2012,9,19,536.9268,0,1,1.167336
38,547.1165,423.382,5,12,547.1165,0,1,1.150742
39,604.0289,331.8355,9,20,350.6299,9,20,1.1651
40,1050.565,437.4797,9,21,408.8485,15,21,1.174141
