Scenario ID,Own/Target Ship CPA,Closest Distance (Skewed),Ship 1,Ship 2,Closest Distance (Parallel),Ship 1,Ship 2,Evaluation Time
0,276.5531,276.5531,0,1,128.2214,3,10,0.3499711
1,949.7109,154.6712,2,4,156.1581,3,8,0.3406333
2,758.8802,758.8802,0,1,38.86361,7,11,0.3438809
3,1940.856,601.4742,1,8,285.0336,5,9,0.3425086
4,799.8348,31.94012,8,10,968.1718,0,1,0.3397639
5,1502.602,91.92627,7,10,813.4791,9,10,0.3406942
6,12.46389,12.46389,0,1,1191.579,2,9,0.3361018
7,1177.623,82.81225,1,6,27.88424,3,9,0.3370721
8,1706.567,445.5785,0,3,277.2945,5,11,0.3493011
9,1987.247,1012.988,4,6,39.86685,2,8,0.3410797
10,575.9536,575.9536,0,1,421.0533,3,5,0.339931
11,524.2664,274.2534,5,10,113.5566,8,9,0.3437896
12,1173.334,997.2227,5,7,1231.198,0,1,0.3328724
13,1526.203,412.9948,0,6,508.6049,0,3,0.3428402
14,1834.428,366.7183,0,5,235.0926,2,7,0.3347602
15,1933.67,70.46925,0,8,450.6815,2,10,0.3378749
16,610.0828,610.0828,0,1,43.90857,3,9,0.3402128
17,898.8339,898.8339,0,1,1101.832,6,11,0.3417377
18,438.0129,438.0129,0,1,444.0984,0,1,0.3359585
19,1021.056,0.7272814,4,9,535.0139,5,8,0.3357592
20,975.4937,962.8047,6,7,800.0961,2,11,0.3390985
21,454.606,43.80025,0,10,483.5551,7,11,0.3371458
22,913.4807,12.29789,3,6,249.7131,2,9,0.341835
23,1746.454,164.6692,5,8,616.0408,0,11,0.3426428
24,1647.575,83.74255,0,2,255.8654,0,2,0.3386068
25,1236.289,953.666,7,10,56.62178,3,9,0.3401928
26,2034.771,4.071742,0,9,11.27571,0,9,0.3406439
27,596.0459,369.0897,4,6,103.5745,4,10,0.3385906
28,1284.445,138.3401,0,8,138.0203,0,8,0.3422689
29,855.048,855.048,0,1,991.7878,5,9,0.3349104
30,565.1489,565.1489,0,1,369.0103,2,9,0.3420496
31,1560.384,731.082,1,3,79.4178,5,6,0.3440504
32,754.8216,288.2258,3,11,110.0649,6,9,0.3376112
33,850.9327,668.3332,10,11,757.7517,6,8,0.3368979
34,918.7572,580.4367,0,10,225.8818,2,9,0.3382339
35,1124.824,699.6283,5,11,529.1516,9,11,0.339366
36,1612.645,244.263,0,5,416.2669,0,5,0.3388586
37,1690.342,79.14303,1,5,178.4799,1,5,0.3442364
38,1358.21,247.937,2,8,859.6945,1,7,0.3364496
39,1118.521,1059.121,8,11,701.3203,5,11,0.3392792
40,691.4022,88.47655,0,6,384.1289,2,8,0.3393669
41,954.4699,39.41429,0,7,257.9219,0,7,0.3435221
42,2242.841,902.4068,1,7,1254.862,1,7,0.3351145
43,258.1078,258.1078,0,1,352.8401,9,11,0.3401918
44,890.8008,38.4894,8,9,816.643,4,10,0.3394508
45,847.6285,847.6285,0,1,872.8162,0,1,0.3373165
46,171.6392,171.6392,0,1,614.4155,0,1,0.3434544
47,428.7112,428.7112,0,1,402.1382,2,9,0.3359241
48,1292.105,786.562,1,11,885.5531,1,11,0.338789
49,1938,34.40578,0,2,172.4525,0,8,0.3416595
50,1247.472,16.34888,2,13,237.9098,10,16,1.0954
51,639.1351,285.577,1,8,368.6538,3,6,1.118258
52,1162.668,4.945649,3,6,533.7544,10,18,1.10224
53,722.4668,177.2758,2,6,126.7556,3,11,1.100664
54,902.9569,601.1063,10,13,419.6909,9,17,1.089401
55,1298.683,434.4265,0,9,78.32346,11,18,1.104179
56,611.9216,360.1209,14,15,121.547,8,16,1.099926
57,1009.265,34.6334,2,17,5.907909,11,19,1.085415
58,997.3685,372.0354,0,5,140.7303,4,19,1.103107
59,780.1777,22.57784,4,8,1.249713,11,16,1.100489
60,942.0858,99.15182,0,4,94.27155,7,12,1.11166
61,1248.92,16.67547,10,14,273.9417,15,16,1.107193
62,2037.89,381.5251,3,7,86.19543,6,14,1.098888
63,1726.933,211.9416,0,7,494.3345,6,8,1.105877
64,860.0428,54.68439,0,9,111.8046,0,14,1.094666
65,1393.029,184.9727,0,17,20.94574,3,20,1.094109
66,865.5333,2.173697,2,5,358.1868,0,3,1.111725
67,829.3764,256.2756,4,15,394.852,0,7,1.100033
68,1503.383,26.53076,12,18,23.33585,5,18,1.108593
69,845.94,276.7617,6,19,176.775,2,21,1.105892
70,778.5782,76.9181,11,14,143.7298,14,17,1.097839
71,742.0605,207.9104,0,2,249.7423,13,17,1.106789
72,936.3109,155.499,0,19,254.0398,0,19,1.109432
73,993.3456,75.70227,13,15,149.5218,6,10,1.095078
74,798.7549,45.12504,17,21,94.26414,17,19,1.106434
75,1216.707,232.8767,13,18,565.7182,0,8,1.100067
76,855.067,322.8499,0,16,32.75641,4,15,1.104317
77,1554.777,79.6695,8,12,56.71758,5,16,1.10033
78,838.0945,37.71357,0,21,47.98507,10,19,1.100544
79,1351.416,0.9790732,2,13,200.3028,9,20,1.096832
80,877.2096,96.02779,4,18,50.02354,3,7,1.108101
81,1016.989,303.9995,12,20,205.5801,7,18,1.089596
82,940.0076,81.62897,0,11,6.706072,4,10,1.105354
83,1389.38,286.5537,2,18,556.8681,5,15,1.100399
84,1829.825,221.3697,1,11,281.0645,3,17,1.1012
85,1012.874,27.79048,11,17,232.5605,7,15,1.106789
86,1261.65,382.4789,10,12,357.8648,18,21,1.100868
87,1521.086,65.54601,0,17,50.4506,4,10,1.096531
88,731.5134,59.58947,0,15,252.4666,6,17,1.100555
89,475.2515,567.0998,0,6,36.09537,8,21,1.099987
90,796.741,638.1607,11,17,34.55838,6,11,1.090851
91,1268.714,122.9776,1,4,45.21935,2,14,1.102631
92,1668.466,58.50013,12,20,27.65432,3,9,1.095428
93,708.3449,148.5923,4,16,253.7869,20,21,1.095337
94,1230.396,63.73193,0,12,39.50249,13,19,1.086723
95,1738.928,149.0074,5,19,211.3669,16,21,1.104851
96,845.3699,170.7845,0,9,170.6582,0,9,1.101746
97,986.2412,141.0582,0,11,72.0491,15,20,1.09198
98,580.2213,340.0023,1,13,33.9603,4,7,1.10997
99,423.1457,16.33004,0,13,16.50818,0,13,1.104088
