Scenario ID,Own/Target Ship CPA,Closest Distance (Skewed),Ship 1,Ship 2,Closest Distance (Parallel),Ship 1,Ship 2,Evaluation Time
0,2873.427,553.7473,2,4,128.2214,3,10,0.3499665
1,6906.791,154.6712,2,4,156.1581,3,8,0.3396226
2,1947.456,868.0894,2,3,38.86361,7,11,0.3392102
3,2485.415,15.22332,1,10,159.9132,0,8,0.3425806
4,1869.106,31.94012,8,10,985.2639,2,5,0.3386312
5,2020.071,91.92627,7,10,588.2081,1,4,0.3387003
6,5281.774,89.78432,5,8,344.1733,1,2,0.3335967
7,1038.913,558.0227,1,6,27.88424,3,9,0.3365643
8,5119.513,229.719,1,5,277.2945,5,11,0.3466148
9,2799.297,269.5327,0,4,39.86685,2,8,0.3427629
10,2700.908,783.8391,1,6,421.0533,3,5,0.3376336
11,2996.076,274.2534,5,10,113.5566,8,9,0.3376207
12,4285.755,997.2227,5,7,1734.633,0,5,0.3307834
13,2020.326,421.3941,0,6,464.6586,0,3,0.3414292
14,2330.554,432.3735,0,5,235.0926,2,7,0.3319774
15,2931.427,236.5688,0,8,450.6815,2,10,0.3370337
16,2357.379,642.5218,0,7,43.90857,3,9,0.3390975
17,2706.022,1447.522,8,11,1101.832,6,11,0.3390069
18,2535.062,991.1514,5,8,1532.299,2,5,0.3357825
19,1979.622,0.7272814,4,9,535.0139,5,8,0.334094
20,2369.299,176.9979,1,9,253.0082,1,9,0.3392577
21,1917.686,4.046704,0,10,483.5551,7,11,0.3353128
22,2406.418,12.29789,3,6,114.0193,0,9,0.3409605
23,3570.799,164.6692,5,8,674.673,3,10,0.3402281
24,5605.763,133.502,0,2,340.635,1,8,0.3377151
25,2807.574,953.666,7,10,56.62178,3,9,0.3394814
26,5920.788,71.37277,1,7,230.5137,0,9,0.3404179
27,3657.23,70.52953,0,5,103.5745,4,10,0.3381453
28,2404.719,1068.466,0,4,987.0512,6,9,0.3435707
29,3376.835,217.4938,1,3,343.5048,1,3,0.3325987
30,3894.918,620.107,0,9,369.0103,2,9,0.3412409
31,5289.083,45.27148,1,11,79.4178,5,6,0.3426504
32,3327.255,288.2258,3,11,110.0649,6,9,0.3364048
33,2115.24,668.3332,10,11,757.7517,6,8,0.3394394
34,3979.076,2.694465,1,10,77.3576,1,10,0.3379383
35,2485.562,699.6283,5,11,529.1516,9,11,0.3356171
36,3336.842,237.4995,0,5,408.7738,1,10,0.3388729
37,1848.478,89.20072,1,5,190.9865,1,5,0.3361416
38,1762.208,158.5051,8,9,266.2822,2,11,0.3333836
39,6702.293,54.31148,0,8,575.9338,4,6,0.3344269
40,6452.15,85.63931,0,6,384.1289,2,8,0.3380117
41,7355.319,109.4268,0,3,108.6412,0,3,0.3442326
42,4093.656,411.7792,1,7,697.6275,1,7,0.3355417
