Scenario ID,Own/Target Ship CPA,Closest Distance (Skewed),Ship 1,Ship 2,Closest Distance (Parallel),Ship 1,Ship 2,Evaluation Time
0,2738.059,68.68178,0,16,128.2214,3,10,1.108667
1,5269.047,93.05805,2,16,112.4061,6,18,1.100866
2,3984.052,32.66232,7,16,110.9118,5,9,1.088778
3,7457.095,82.06812,9,11,5.343751,7,19,1.092204
4,4585.341,260.9176,1,16,11.21603,10,16,1.079757
5,5666.649,20.11012,3,14,40.28901,5,19,1.080235
6,2563.34,47.85273,7,21,145.9977,10,12,1.083092
7,3459.762,114.8259,1,5,51.68713,2,11,1.09958
8,5468.161,11.18662,1,4,243.3004,2,11,1.090816
9,3845.393,77.23567,0,17,41.51232,3,21,1.093833
10,3266.191,383.3376,1,12,41.49837,5,11,1.100015
11,3117.458,2.288314,0,9,102.2124,20,21,1.099644
12,4654.461,24.73136,1,15,80.79524,1,17,1.105676
13,4675.138,90.25207,1,21,259.706,5,11,1.084945
14,1745.567,79.95879,0,19,102.6026,8,17,1.098772
15,3081.384,47.88958,2,10,40.53897,6,13,1.07984
16,1022.034,74.81657,1,15,21.85629,9,15,1.101997
17,3247.638,156.5973,1,19,54.83947,16,18,1.095341
18,2200.489,596.4326,0,11,205.2805,11,19,1.094618
19,3736.956,6.246699,1,7,119.9427,0,21,1.103617
20,2414.418,18.70651,0,15,107.5901,9,10,1.089006
21,3677.171,399.8732,1,21,29.27975,6,14,1.086931
22,4042.221,50.22356,1,16,186.2097,7,13,1.088856
23,5638.57,49.70116,0,6,78.79362,1,13,1.089464
24,2965.424,50.57505,0,6,14.69749,13,16,1.105299
25,1172.463,142.1998,8,13,3.056843,1,17,1.085699
26,1869.679,77.90588,0,3,4.78469,8,15,1.095926
27,1403.612,80.54684,0,20,23.41549,15,17,1.093578
28,1285.104,409.4195,1,14,318.5443,8,13,1.076305
29,1660.391,775.5181,0,18,200.5817,9,14,1.08984
30,1519.798,31.99987,4,15,172.4483,5,10,1.094215
31,2142.496,30.01464,1,7,129.2953,1,17,1.102406
32,1815.876,53.38837,2,20,51.6831,5,17,1.076008
33,1448.232,509.9354,6,13,11.73585,7,14,1.093925
34,2209.738,124.1222,0,14,43.77615,14,15,1.093704
35,1324.815,36.29353,1,15,100.3392,15,21,1.094143
36,1443.93,183.9431,1,12,88.03673,15,21,1.078911
37,1580.198,263.2582,1,20,222.6474,5,10,1.081409
38,1616.475,50.20595,7,18,409.5589,9,12,1.082485
39,1480.008,4.867095,0,2,106.6043,11,13,1.078331
40,2327.197,218.2732,13,17,93.3806,9,21,1.085396
41,1650.918,90.425,0,11,127.3266,6,12,1.100639
42,1448.476,86.59673,0,19,70.33358,12,13,1.087795
43,1530.957,343.612,9,19,277.0533,10,18,1.087185
44,1390.169,437.8078,4,5,149.1086,14,15,1.077145
45,1537.512,327.0232,0,10,52.87489,1,10,1.079571
46,1561.733,23.08585,0,5,313.1072,0,5,1.094494
47,1565.541,564.2305,8,20,45.8859,1,16,1.087769
48,1315.147,556.8456,10,14,614.1371,6,7,1.079411
49,1462.819,116.1007,5,16,201.6144,9,14,1.081764
50,5055.177,146.2078,2,10,97.8012,17,21,1.093662
51,6372.402,4.213381,0,18,65.58917,14,20,1.101101
52,5613.279,299.1435,0,17,298.3232,0,17,1.087551
53,2613.768,61.56406,0,9,50.56702,5,19,1.092453
54,2520.041,90.02723,1,15,103.3977,4,5,1.084644
55,4477.082,340.8772,0,4,60.31548,2,21,1.076523
56,2690.224,8.107273,6,8,208.9388,10,12,1.081211
57,2887.972,1028.328,12,14,24.90962,8,15,1.082291
58,1161.355,33.97586,7,11,325.4655,9,10,1.093811
