Scenario ID,Own/Target Ship CPA,Closest Distance (Skewed),Ship 1,Ship 2,Closest Distance (Parallel),Ship 1,Ship 2,Evaluation Time
0,1341.57,549.2028,4,14,551.579,3,20,12.87319
1,3808.949,394.2387,1,5,474.6396,1,5,1.216557
2,1850.067,429.3473,12,20,518.8281,5,20,1.184809
3,2902.962,488.5287,14,20,488.5499,14,20,1.210575
4,1033.815,483.2779,1,16,609.4833,5,6,1.164076
5,2574.635,557.8141,3,11,515.3717,4,9,1.17972
6,2038.523,441.1778,5,18,288.9005,13,17,1.202791
7,2505.446,536.2297,5,7,550.0405,1,7,1.221806
8,2572.772,477.8459,2,4,525.7019,15,17,1.21155
9,1302.227,537.9926,6,18,524.3401,6,18,1.172024
10,2773.495,553.3248,1,6,604.5313,18,20,1.184683
11,2409.245,384.3997,1,19,587.4163,0,18,1.238441
12,2075.506,615.9789,13,20,147.0159,14,18,1.158859
13,1839.488,423.5998,14,19,449.5196,20,21,1.185678
14,1775.431,273.4799,16,20,472.3275,11,19,1.252836
15,1690.354,181.1148,1,10,530.3009,11,18,1.205679
16,1633.313,410.8526,5,14,503.9079,3,9,1.22192
17,2083.857,539.6531,13,14,722.0193,9,16,1.21566
18,1059.566,809.5709,12,13,548.8252,11,19,1.164665
19,3214.694,546.5994,3,15,488.9353,8,21,1.24749
20,3061.108,542.9364,1,18,588.8969,0,9,1.310219
21,2538.609,512.0483,1,21,525.6071,6,14,1.201996
22,2442.355,496.7418,7,13,512.4059,6,11,1.419994
23,3514.486,595.1805,13,18,559.6335,13,18,1.273022
24,2070.668,543.8593,20,21,481.8914,20,21,1.317184
25,633.072,549.1342,1,13,394.1828,1,13,1.318542
26,711.7609,575.2708,1,15,527.0404,1,15,1.298931
27,549.3455,604.5531,9,21,549.3455,0,1,1.272579
28,704.1182,556.509,8,13,509.8349,8,13,1.23827
29,993.2778,547.2656,0,7,498.0323,4,15,1.261368
30,606.3671,438.6968,11,12,566.0525,5,10,1.280514
31,1309.735,504.8701,0,17,500.5254,0,17,1.304634
32,713.9333,513.0104,6,10,614.0494,3,6,1.224854
33,557.0895,546.999,7,14,455.3467,7,14,1.18359
34,554.6459,446.3507,1,19,520.7894,3,5,1.244137
35,698.9532,523.3414,0,13,496.0154,5,6,1.218609
36,997.8257,506.4288,15,16,424.6369,14,21,1.206673
37,536.9268,550.2012,9,19,536.9268,0,1,1.196564
38,547.1165,423.382,5,12,547.1165,0,1,1.141541
39,604.0289,331.8355,9,20,350.6299,9,20,1.160404
40,1050.565,437.4797,9,21,408.8485,15,21,1.179089
41,1170.021,549.2087,0,20,445.0294,0,20,1.215858
42,533.5921,530.9847,5,17,525.1396,6,20,1.179214
43,756.6016,541.6129,3,13,524.5289,6,17,1.241356
44,556.3605,556.3605,0,1,399.1481,14,15,1.222458
45,610.1969,495.0569,6,11,543.0201,2,19,1.183281
46,608.2313,556.6609,8,10,536.7807,0,12,1.189133
47,602.3434,564.2305,8,20,554.3203,4,15,1.28344
48,679.7519,556.8456,10,14,614.1371,6,7,1.238213
49,560.0641,547.5206,9,14,543.8691,9,14,1.218391
50,1106.275,444.6178,9,21,448.0444,9,21,1.280724
51,595.0984,523.9653,8,18,446.1626,5,14,1.257637
52,567.8311,524.8862,0,18,534.3494,0,18,1.233353
53,1021.95,126.4673,1,11,468.8383,5,19,1.309914
54,567.4996,517.3167,5,14,540.5558,19,21,1.269737
55,1416.98,469.0245,0,12,430.193,0,12,1.223686
56,642.857,588.0809,6,8,570.0397,4,5,1.190781
57,660.0279,556.16,0,2,402.0764,8,15,1.181595
58,882.0569,473.8739,0,13,501.3729,0,13,1.26091
59,640.515,595.1912,1,13,518.5012,10,15,1.270615
60,1320.333,472.5439,5,16,458.1918,0,13,1.256538
61,1591.813,345.5155,0,18,632.5259,13,18,1.245178
62,1282.888,509.7886,18,20,446.5493,18,20,1.266396
63,565.5289,546.8663,3,20,499.2945,3,20,1.271202
64,1364.185,547.2017,0,6,482.0371,13,18,1.294319
65,741.3426,548.4726,1,19,558.4006,0,7,1.297882
66,592.9396,560.8397,12,21,552.0656,10,17,1.223198
67,813.0331,554.2029,1,4,533.0817,9,11,1.286819
68,944.3459,336.1653,7,16,435.9717,7,17,1.196945
69,1380.106,537.0858,12,18,501.6072,12,18,1.257347
70,1575.672,333.5938,0,3,454.7391,10,16,1.241226
71,1398.291,522.2542,0,13,438.3518,0,13,1.203918
72,1269.2,540.3323,0,3,556.5387,0,3,1.330887
73,758.9897,553.8577,1,15,562.7846,7,14,1.192924
74,543.3124,400.5871,1,21,497.4614,0,14,1.222404
75,965.5757,340.0699,1,2,451.5327,7,14,1.228584
76,843.8865,593.0761,1,5,523.6719,0,3,1.190369
77,1215.352,611.1479,8,16,512.4136,0,3,1.170692
78,1486.22,417.0159,13,15,296.9276,11,17,1.19416
79,753.4581,559.8598,15,18,486.5792,15,18,1.160187
80,763.9429,417.4106,13,16,417.4589,13,16,1.202568
81,640.1782,550.155,6,19,569.4067,6,19,1.178406
82,1091.796,542.0812,2,8,542.4447,9,19,1.178558
83,1386.103,550.78,14,19,534.6019,9,14,1.228416
84,1316.468,541.1058,11,13,520.8361,0,7,1.251686
85,1153.013,490.644,0,2,484.1923,0,2,1.253242
86,1677.162,440.2558,13,20,459.6044,13,20,1.249886
87,907.8046,551.5927,1,8,434.5101,13,14,1.242218
88,1139.221,535.2375,11,15,498.0606,11,15,1.194481
89,995.2135,546.3652,10,20,452.2938,14,20,1.261093
90,1153.439,552.9607,1,4,568.6763,18,20,1.245667
91,586.7044,547.7865,13,16,519.3322,4,7,1.200066
92,1727.181,437.0366,0,3,540.4418,5,17,1.203468
93,671.457,553.7941,1,16,559.2852,0,19,1.175697
94,552.8604,552.8604,0,1,440.5015,8,12,1.230515
95,991.8886,544.7553,6,9,546.8405,0,5,1.242828
96,699.1317,370.743,1,18,632.4874,0,14,1.25116
97,658.3116,551.8202,1,16,581.9226,3,20,1.153702
98,1252.876,592.3916,1,19,607.4353,2,11,1.15416
99,861.9061,444.0057,2,21,472.5103,0,15,1.214676
