Scenario ID,Own/Target Ship CPA,Closest Distance (Skewed),Ship 1,Ship 2,Closest Distance (Parallel),Ship 1,Ship 2,Evaluation Time
0,3477.817,553.7473,2,4,128.2214,3,10,0.3540311
1,4999.897,154.6712,2,4,156.1581,3,8,0.3396127
2,1239.054,868.0894,2,3,38.86361,7,11,0.3396055
3,2637.312,222.8936,0,8,285.0336,5,9,0.341713
4,1428.731,31.94012,8,10,985.2639,2,5,0.3410511
5,1007.835,91.92627,7,10,554.3685,1,4,0.3389411
6,2744.072,89.78432,5,8,1191.579,2,9,0.3341954
7,2665.249,79.10233,1,6,27.88424,3,9,0.3363898
8,3995.285,209.6792,1,3,277.2945,5,11,0.3487437
9,4141.369,221.5817,0,4,39.86685,2,8,0.3388271
10,3282.755,596.5182,1,6,421.0533,3,5,0.3380413
11,1350.577,274.2534,5,10,113.5566,8,9,0.3386049
12,2517.768,997.2227,5,7,1734.633,0,5,0.3318143
13,3457.626,421.3941,0,6,464.6586,0,3,0.342226
14,3339.158,432.3735,0,5,235.0926,2,7,0.3329744
15,4720.519,236.5688,0,8,423.5387,1,8,0.3373871
16,4816.493,613.29,0,7,43.90857,3,9,0.3397002
17,1603.446,1159.154,1,10,1101.832,6,11,0.3397636
18,1948.557,991.1514,5,8,1532.299,2,5,0.3361664
19,2727.318,0.7272814,4,9,535.0139,5,8,0.3339858
20,2381.608,795.0604,1,9,795.1119,1,9,0.3384824
21,3032.677,4.046704,0,10,483.5551,7,11,0.336565
22,1490.168,12.29789,3,6,249.7131,2,9,0.3420372
23,4444.435,164.6692,5,8,674.673,3,10,0.3403997
24,4669.091,2.740514,0,2,344.9543,0,2,0.3387699
25,3796.62,953.666,7,10,56.62178,3,9,0.3389788
26,4677.82,6.53528,0,9,333.3069,1,7,0.3404799
27,4453.715,96.95214,0,5,103.5745,4,10,0.339735
28,2915.756,1068.466,0,4,987.0512,6,9,0.3454075
29,1606.988,1275.653,1,3,991.7878,5,9,0.3328152
30,4870.399,620.107,0,9,369.0103,2,9,0.3419342
31,3608.105,5.847616,1,3,79.4178,5,6,0.3427792
32,3745.74,288.2258,3,11,110.0649,6,9,0.337944
33,1525.321,668.3332,10,11,757.7517,6,8,0.3376608
34,3202.329,516.2335,1,10,225.8818,2,9,0.3386974
35,3229.856,699.6283,5,11,529.1516,9,11,0.3362799
36,4854.449,237.4995,0,5,419.2491,0,5,0.33916
37,3673.479,100.7176,1,5,190.2941,1,5,0.3393354
38,4612.262,94.85288,1,7,501.47,1,7,0.3372059
39,1349.347,1059.121,8,11,701.3203,5,11,0.3405342
40,5964.615,85.63931,0,6,384.1289,2,8,0.3404875
41,5264.291,84.50671,0,3,83.95455,0,3,0.3448601
42,4100.139,415.5218,1,7,696.0984,1,7,0.3360624
43,2008.943,487.7833,4,8,352.8401,9,11,0.3380299
44,1939.364,38.4894,8,9,816.643,4,10,0.3385439
45,2388.662,1059.495,5,11,885.073,3,7,0.3378849
46,4199.907,16.32294,0,8,217.1426,0,8,0.3399029
47,5979.501,191.3697,0,4,288.718,0,4,0.3354511
48,5457.932,261.2215,1,11,469.5593,1,11,0.3395615
49,5449.354,41.69748,0,8,143.4863,1,9,0.3405819
50,1407.961,16.34888,2,13,237.9098,10,16,1.095251
51,3232.442,128.489,1,8,153.9969,1,8,1.11231
52,3067.586,4.945649,3,6,533.7544,10,18,1.105352
53,1904.115,177.2758,2,6,126.7556,3,11,1.102999
54,1274.808,601.1063,10,13,419.6909,9,17,1.092331
55,4490.002,420.7155,0,9,78.32346,11,18,1.105158
56,3125.348,360.1209,14,15,121.547,8,16,1.100361
57,6064.616,34.6334,2,17,5.907909,11,19,1.085247
58,4354.531,395.6927,0,5,140.7303,4,19,1.104446
59,4018.855,22.57784,4,8,1.249713,11,16,1.102924
60,4728.322,107.9016,0,4,94.27155,7,12,1.105707
61,3743.809,16.67547,10,14,222.2401,0,19,1.105658
62,5360.722,381.5251,3,7,86.19543,6,14,1.098375
63,4497.959,214.3061,10,11,494.3345,6,8,1.102833
64,5133.946,40.92564,0,14,187.2849,0,14,1.092896
65,4371.069,11.31444,0,10,20.94574,3,20,1.088005
66,4339.285,2.173697,2,5,122.47,0,3,1.109268
67,2374.084,256.2756,4,15,492.9909,12,16,1.100922
68,5254.408,26.53076,12,18,23.33585,5,18,1.104099
69,3557.024,182.4857,0,13,176.775,2,21,1.101677
70,4557.134,57.73612,0,10,143.7298,14,17,1.095516
71,4945.27,421.4025,3,9,249.7423,13,17,1.107456
72,6409.821,12.75228,0,19,43.21414,0,19,1.10347
73,3565.016,22.25244,0,11,149.5218,6,10,1.086407
74,2854.996,45.12504,17,21,94.26414,17,19,1.102718
75,2105.31,232.8767,13,18,591.6425,13,15,1.099369
76,3321.342,30.2159,0,16,32.75641,4,15,1.09885
77,2676.248,79.6695,8,12,56.71758,5,16,1.09774
78,5393.352,50.05279,0,21,47.98507,10,19,1.096115
79,4738.184,0.9790732,2,13,197.9159,0,15,1.095276
80,3196.478,96.02779,4,18,50.02354,3,7,1.111317
81,3682.102,46.20197,1,3,205.5801,7,18,1.086586
82,3067.763,63.54717,0,11,6.706072,4,10,1.100403
83,4908.986,246.3508,0,11,556.8681,5,15,1.085335
84,1335.913,26.64471,1,11,281.0645,3,17,1.089355
85,920.6948,27.79048,11,17,232.5605,7,15,1.098816
86,4255.103,382.4789,10,12,357.8648,18,21,1.093685
87,3950.295,112.1272,0,17,50.4506,4,10,1.089508
88,6498.021,36.49327,0,15,252.4666,6,17,1.094498
89,6386.51,576.7177,0,6,36.09537,8,21,1.09824
90,3938.216,638.1607,11,17,34.55838,6,11,1.085659
91,3593.254,96.08444,0,6,45.21935,2,14,1.098
92,3372.355,58.50013,12,20,27.65432,3,9,1.088379
93,4044.989,0.7415307,0,9,253.7869,20,21,1.098907
94,4741.58,62.43447,0,12,39.50249,13,19,1.097893
95,3841.733,149.0074,5,19,211.3669,16,21,1.11351
96,4677.603,89.32583,0,9,182.1921,2,6,1.103363
97,3433.08,41.1862,0,11,72.0491,15,20,1.097473
98,3059.642,238.1154,1,12,33.9603,4,7,1.112587
99,4799.618,41.47427,0,4,50.56798,3,13,1.105042
